programnyelv;megjelenesEve;AktualisKeresesekSzama;multhaviHelyezes;multhaviKeresesekSzama
JavaScript;1996;28200;7;25500
Lisp;1958;3700;25;3300
Dart;2011;3400;23;4400
Assembly;1949;24900;8;25050
SQL;1974;20100;10;18200
PHP;1995;16800;9;18500
Python;1991;117200;2;144400
C;1972;139600;1;161100
Java;1995;157400;3;139500
C++;1983;97600;4;118000
Perl;1987;7200;19;8800
Ruby;1995;6600;13;14900
Julia;2012;6100;29;1900
Scratch;2001;5700;28;2200
COBOL;1959;5200;27;2800
C#;2001;48800;5;55000
Visual Basic;1991;43900;6;41000
Objective-C;1984;14900;24;4200
Go;2009;11600;14;10600
Delphi;1986;10900;20;8500
MATLAB;1984;10600;16;9900
Fortran;1957;10300;17;9500
Swift;2014;9800;15;10500
Ada;1983;4300;26;2900
Elixir;2012;1300;21;5500
